day,date,milp_profit,ppo_profit,milp_cumulative,ppo_cumulative,milp_soh,ppo_soh,avg_price,min_price,max_price,price_volatility,milp_utilization,ppo_utilization,milp_arbitrage,ppo_arbitrage,milp_flexibility,ppo_flexibility,milp_degradation,ppo_degradation,milp_fcr_revenue,milp_afrr_revenue,milp_mfrr_revenue,ppo_fcr_revenue,ppo_afrr_revenue,ppo_mfrr_revenue,milp_fcr_utilization,milp_afrr_utilization,milp_mfrr_utilization,ppo_fcr_utilization,ppo_afrr_utilization,ppo_mfrr_utilization
276,2024-10-02,1152.0666714297915,1974.6795253028574,413666.02447995875,540900.4736406598,0.972400000000003,0.9696147368421093,30.28368235344656,10.0,53.706310587456926,13.660114409038162,0.0,0.035087719298245605,0.0,-55.92174441765208,1152.0666714297915,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
277,2024-10-03,1152.2159967629707,1962.841210942316,414818.2404767217,542863.3148516022,0.972300000000003,0.9694305263157935,34.8690005144514,10.0,60.75555927312543,15.700985865303322,0.0,0.035087719298245605,0.0,-67.76005877819344,1152.2159967629707,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
278,2024-10-04,1152.4505987071975,1966.048457233843,415970.6910754289,544829.363308836,0.9722000000000031,0.9692463157894777,34.31351363006441,10.0,68.50485814848287,17.646285431921587,0.0,0.035087719298245605,0.0,-64.55281248666648,1152.4505987071975,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
279,2024-10-05,1152.7704077448511,1974.460953697612,417123.46148317377,546803.8242625336,0.9721000000000031,0.9690621052631619,34.362994527155166,12.651016421238143,58.94876141740419,14.776264121020194,0.0,0.035087719298245605,0.0,-56.140316022897366,1152.7704077448511,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
280,2024-10-06,1153.1753291096124,1968.0193191916612,418276.63681228337,548771.8435817253,0.9720000000000031,0.9688778947368462,34.23542826394703,10.0,58.702059465805526,15.349134537656628,0.0,0.035087719298245605,0.0,-62.58195052884827,1153.1753291096124,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
281,2024-10-07,1153.6652428145414,1959.0189949693452,419430.3020550979,550730.8625766946,0.9719000000000031,0.9686936842105304,36.72789708394129,10.0,70.38549225651462,16.051168170428753,0.0,0.035087719298245605,0.0,-71.5822747511643,1153.6652428145414,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
282,2024-10-08,1154.2400036876352,1972.3035412586419,420584.5420587855,552703.1661179533,0.9718000000000031,0.9685094736842146,32.6665773228573,10.0,54.65473673482521,14.816141972169058,0.0,0.035087719298245605,0.0,-58.29772846186749,1154.2400036876352,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
283,2024-10-09,1154.8994414148422,1970.472037293085,421739.44150020037,554673.6381552464,0.9717000000000031,0.9683252631578988,31.121817281121125,10.491176944860653,55.5017998857667,13.153354557321187,0.0,0.035087719298245605,0.0,-60.12923242742448,1154.8994414148422,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
284,2024-10-10,1155.6433605905324,1968.2576951197477,422895.08486079087,556641.8958503661,0.9716000000000031,0.968141052631583,35.30497536604609,10.0,64.3829758331559,16.545628794880994,0.0,0.035087719298245605,0.0,-62.34357460076182,1155.6433605905324,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
285,2024-10-11,1156.4715407753972,1959.590853906832,424051.55640156625,558601.4867042729,0.9715000000000031,0.9679568421052672,35.514699552480316,10.0,64.24412935205409,15.153991932737878,0.0,0.035087719298245605,0.0,-71.01041581367747,1156.4715407753972,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
286,2024-10-12,1157.3837365617765,1957.6430321573553,425208.940138128,560559.1297364302,0.9714000000000031,0.9677726315789514,36.543986071170856,13.176024570835942,60.44928048051564,13.632229393962778,0.0,0.035087719298245605,0.0,-72.95823756315427,1157.3837365617765,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
287,2024-10-13,1158.379677646371,1961.2289379662236,426367.3198157744,562520.3586743964,0.9713000000000032,0.9675884210526356,36.5351754241405,10.0,69.30093314048442,16.039280096888948,0.0,0.035087719298245605,0.0,-69.37233175428577,1158.379677646371,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
288,2024-10-14,1159.459068910343,1963.2878694399699,427526.7788846847,564483.6465438363,0.9712000000000032,0.9674042105263199,35.554554441046236,10.0,61.77849170224856,16.074902459969636,0.0,0.035087719298245605,0.0,-67.31340028053962,1159.459068910343,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
289,2024-10-15,1160.621590506766,1960.3526958078046,428687.4004751915,566443.9992396442,0.9711000000000032,0.9672200000000041,32.43686492748616,10.0,52.44262592294798,14.139411975007778,0.0,0.035087719298245605,0.0,-70.2485739127049,1160.621590506766,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
290,2024-10-16,1161.866897955401,1974.0665814845343,429849.2673731469,568418.0658211287,0.9710000000000032,0.9670357894736883,32.565150365806694,10.0,56.700872472952966,14.082917346144873,0.0,0.035087719298245605,0.0,-56.534688235975096,1161.866897955401,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
291,2024-10-17,1163.1946222447773,1956.4770677914005,431012.4619953917,570374.54288892,0.9709000000000032,0.9668515789473725,35.38147326474607,11.483597134444466,67.19325174417445,15.847154720589323,0.0,0.035087719298245605,0.0,-74.12420192910896,1163.1946222447773,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
292,2024-10-18,1164.604369941531,1958.2928465925663,432177.0663653332,572332.8357355127,0.9708000000000032,0.9666673684210567,35.601139010688314,10.0,55.92744315437243,14.648760194937108,0.0,0.035087719298245605,0.0,-72.30842312794323,1164.604369941531,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
293,2024-10-19,1166.0957233069958,1967.5098247424928,433343.1620886402,574300.3455602551,0.9707000000000032,0.9664831578947409,35.080244536135865,11.121847750852915,60.10483271236843,15.542249437932576,0.0,0.035087719298245605,0.0,-63.09144497801672,1166.0957233069958,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
294,2024-10-20,1167.6682404209826,1964.3406411531794,434510.8303290612,576264.6862014083,0.9706000000000032,0.9662989473684251,35.76422188305764,10.203353001135827,68.37733641453156,16.22841181331985,0.0,0.035087719298245605,0.0,-66.26062856732995,1167.6682404209826,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
295,2024-10-21,1169.3214553127345,1960.649800344305,435680.1517843739,578225.3360017525,0.9705000000000032,0.9661147368421094,36.985481391002935,12.19935772330092,67.08471277248377,16.42221542452902,0.0,0.035087719298245605,0.0,-69.95146937620437,1169.3214553127345,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
296,2024-10-22,1171.0548780989975,1969.613695077184,436851.2066624729,580194.9496968297,0.9704000000000033,0.9659305263157936,32.09389081971579,11.839710824483603,54.27709309788812,12.418208304497501,0.0,0.035087719298245605,0.0,-60.98757464332536,1171.0548780989975,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
297,2024-10-23,1172.8679951291917,1961.99914038368,438024.0746576021,582156.9488372133,0.9703000000000033,0.9657463157894778,33.94765888711513,10.0,52.15173236808035,13.568077330428737,0.0,0.035087719298245605,0.0,-68.60212933682932,1172.8679951291917,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
298,2024-10-24,1174.7602691376098,1966.6029180509506,439198.83492673974,584123.5517552643,0.9702000000000033,0.965562105263162,35.371500934151236,10.0,63.23022980490127,16.001056546733526,0.0,0.035087719298245605,0.0,-63.998351669558886,1174.7602691376098,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
299,2024-10-25,1176.7311394026237,1954.8493172051215,440375.56606614235,586078.4010724694,0.9701000000000033,0.9653778947368462,36.81650914814933,10.0,62.55962027134088,16.64701767987132,0.0,0.035087719298245605,0.0,-75.75195251538807,1176.7311394026237,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
300,2024-10-26,1178.7800219128414,1961.2595377555438,441554.3460880552,588039.6606102249,0.9700000000000033,0.9651936842105304,37.0697812058086,10.0,63.43996992331706,17.19538932906949,0.0,0.035087719298245605,0.0,-69.3417319649657,1178.7800219128414,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
301,2024-10-27,1180.906309540154,1955.1059535576105,442735.2523975953,589994.7665637826,0.9699000000000033,0.9650094736842146,36.82062986967809,14.020838486838736,56.735344655593174,14.337063901073893,0.0,0.035087719298245605,0.0,-75.49531616289892,1180.906309540154,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
302,2024-10-28,1183.1093722196504,1960.966544513205,443918.361769815,591955.7331082958,0.9698000000000033,0.9648252631578988,37.50273399793622,10.0,65.6919071544559,17.461686808545544,0.0,0.035087719298245605,0.0,-69.63472520730446,1183.1093722196504,2034.110041650334,0.0,3.5087719298245608,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.875,0.0
