error_distribution,day,avg_price,price_volatility,milp_net_profit,ppo_net_profit,milp_arbitrage,ppo_arbitrage,milp_flexibility,ppo_flexibility,milp_degradation,ppo_degradation,milp_fcr_revenue,milp_afrr_revenue,milp_mfrr_revenue,ppo_fcr_revenue,ppo_afrr_revenue,ppo_mfrr_revenue,milp_exec_time,ppo_exec_time,milp_utilization,ppo_utilization,milp_cumulative,ppo_cumulative,milp_throughput_cum,ppo_throughput_cum,ppo_arbitrage_throughput,ppo_activation_throughput,ppo_total_throughput
ornstein-uhlenbeck,58,84.590345,11.316709036255858,3983.492376400001,2187.8730193590814,143.5213364,0.0,3939.971040000001,2198.470296250682,100.0,10.597276891600876,0.0,3939.971040000001,0.0,0.0,2198.470296250682,0.0,0.1391594409942627,0.0260162353515625,0.5,0.0,249467.67167000004,126896.63512282653,2784.0,295.02818866216865,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,59,84.53347916666667,11.797120431340762,3981.9911700000007,2187.8730193590814,131.56717,0.0,3950.424000000001,2198.470296250682,100.0,10.597276891600876,0.0,3950.424000000001,0.0,0.0,2198.470296250682,0.0,0.1296546459197998,0.030566930770874023,0.5,0.0,253449.66284000003,129084.5081421856,2832.0,300.1148815701371,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,60,85.15827333333334,13.710329696700606,4399.852000000002,2187.8730193590814,138.55280000000002,0.0,4361.299200000001,2198.470296250682,100.0,10.597276891600876,0.0,4361.299200000001,0.0,0.0,2198.470296250682,0.0,0.12470602989196777,0.05900454521179199,0.5,0.0,257849.51484000005,131272.38116154468,2880.0,305.2015744781055,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,61,94.70125,10.640522117711141,4413.2428,2187.8730193590814,149.5004,0.0,4363.7424,2198.470296250682,100.0,10.597276891600876,0.0,4363.7424,0.0,0.0,2198.470296250682,0.0,0.15544629096984863,0.024040699005126953,0.5,0.0,262262.75764,133460.25418090375,2928.0,310.2882673860739,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,62,84.4665675,12.557165443308737,4379.1352,2187.8730193590814,131.58,0.0,4347.5552,2198.470296250682,100.0,10.597276891600876,0.0,4347.5552,0.0,0.0,2198.470296250682,0.0,0.14485621452331543,0.036546945571899414,0.5,0.0,266641.89284000004,135648.12720026282,2976.0,315.37496029404235,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,63,74.12638083333333,12.113088781741054,4372.6936000000005,2187.8730193590814,117.6776,0.0,4355.0160000000005,2198.470296250682,100.0,10.597276891600876,0.0,4355.0160000000005,0.0,0.0,2198.470296250682,0.0,0.13487458229064941,0.05527377128601074,0.5,0.0,271014.58644000004,137836.0002196219,3024.0,320.4616532020108,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,64,89.1314675,10.960911343410748,4409.2528,2187.8730193590814,142.84,0.0,4366.4128,2198.470296250682,100.0,10.597276891600876,0.0,4366.4128,0.0,0.0,2198.470296250682,0.0,0.3186678886413574,0.07653236389160156,0.5,0.0,275423.83924000006,140023.87323898097,3072.0,325.5483461099792,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,65,88.40064749999999,14.525645633435786,3985.8594400000006,2187.8730193590814,148.13479999999998,0.0,3937.724640000001,2198.470296250682,100.0,10.597276891600876,0.0,3937.724640000001,0.0,0.0,2198.470296250682,0.0,0.28748297691345215,0.054116010665893555,0.5,0.0,279409.6986800001,142211.74625834005,3120.0,330.63503901794763,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,66,92.52465124999999,13.92551864977277,3980.149385200001,2187.8730193590814,136.74106519999998,0.0,3943.408320000001,2198.470296250682,100.0,10.597276891600876,0.0,3943.408320000001,0.0,0.0,2198.470296250682,0.0,0.11665773391723633,0.01609206199645996,0.5,0.0,283389.8480652001,144399.61927769912,3168.0,335.72173192591606,0.0,5.08669290796842,5.08669290796842
ornstein-uhlenbeck,67,95.62613958333333,16.548296396904043,4421.364800000001,2187.8730193590814,155.8032,0.0,4365.561600000001,2198.470296250682,100.0,10.597276891600876,0.0,4365.561600000001,0.0,0.0,2198.470296250682,0.0,0.13346076011657715,0.02369546890258789,0.5,0.0,287811.21286520007,146587.4922970582,3216.0,340.8084248338845,0.0,5.08669290796842,5.08669290796842
